farm,LandUse,FarmType,FarmArea_ha
WA01,2,7,46.77352305
WA02,3,9,35.16228322
WA03,1,1,69.16724313
WA04,3,10,88.18657521
WA05,3,10,86.80166137
WA06,1,1,170.4866428
WA07,1,3,339.5105
WA08,1,1,321.9792193
WA09,3,9,274.5473369
WA10,1,1,229.2847972
WA101,3,10,41.34017465
WA102,2,8,112.6452024
WA103,2,7,34.30350212
WA104,2,8,148.626891
WA105,2,8,237.9076629
WA106,3,9,27.21894203
WA107,3,9,41.51545893
WA11,1,1,70.10282555
WA12,1,1,155.7701364
WA13,2,7,27.60974832
WA14,1,4,173.1319147
WA15,3,10,22.80437418
WA16,1,4,522.6212958
WA17,1,2,101.3239792
WA18,3,9,237.6166869
WA19,1,2,94.472307
WA20,3,9,2.653482986
WA21,1,1,5.244601185
WA22,1,3,137.4807833
WA23,1,2,87.16317975
WA24,2,8,223.2877033
WA25,3,10,209.1697867
WA26,3,9,35.41405307
WA27,3,10,87.08317787
WA28,3,9,52.91922638
WA29,2,7,19.60357389
WA30,1,5,372.3596015
WA31,3,9,20.24994159
WA32,1,6,124.7477934
WA33,1,5,280.573805
WA34,1,2,140.8244045
WA35,1,4,587.879948
WA36,1,2,234.135028
WA37,1,1,5.552728392
WA38,2,8,90.71991831
WA39,2,8,370.8217479
WA40,1,2,249.2099062
WA41,2,7,81.02845146
WA42,3,9,47.9745046
WA43,1,2,155.2590983
WA44,2,8,95.80089674
WA45,2,7,86.80113244
WA46,2,8,260.4911337
WA47,1,1,128.6130802
WA48,1,5,391.5343652
WA49,1,3,46.66361958
WA50,2,8,85.32037928
WA51,2,7,0.625096214
WA52,1,5,233.3474656
WA53,3,10,224.2084319
WA54,2,7,38.59319557
WA55,1,3,448.8536438
WA56,1,5,428.7155759
WA57,1,1,22.79154115
WA58,1,3,155.7166649
WA59,2,8,60.60619719
WA61,1,5,155.4689829
WA62,1,1,256.0670944
WA64,1,2,40.77918977
WA65,3,9,4.237137017
WA66,1,2,192.7321724
WA67,3,10,165.3142787
WA68,1,3,64.73163704
WA69,3,9,159.579686
WA70,1,4,381.4340507
WA71,3,10,301.5719544
WA72,3,9,96.35982068
WA73,3,10,207.6411146
WA74,1,2,224.3126348
WA75,2,8,95.32310632
WA76,1,1,310.5875609
WA77,2,8,92.902962
WA78,1,1,228.9884642
WA79,3,9,16.9488649
WA80,1,2,48.69191557
WA81,2,8,86.83233292
WA83,2,7,149.2592334
WA84,1,1,38.51209778
WA85,1,3,9.56584594
WA86,1,4,343.5717457
WA87,1,4,172.8548576
WA88,1,1,242.8594406
WA89,2,7,109.9865976
WA91,3,9,128.0443112
WA92,3,9,12.42237516
WA93,1,4,110.2450485
WA94,2,7,12.02066179
WA97,2,7,71.90518999
WA99,1,1,80.77998907
