overview;Ebit_K;TNLoad_ton;TNLoad_red_FSM_ton;TNLoad_red_EoFM_ton;TPLoad_ton;TPLoad_red_FSM_ton;TPLoad_red_EoFM_ton;Ebit_red;TN_red;TN_FSM_red;TN_EoFM_red;TP_red;TP_FSM_red;TP_EoFM_red
overview_phosphorus_0red.csv;23681045.1264963;374707.555660799;0;0;10769.73390624;0;0;0;0;0;0;0;0;0
overview_phosphorus_5red.csv;20978435.9032209;331717.92141611;38497.9369373684;4491.69730567883;9145.3715254783;1224.71944178492;399.642937804741;11.4125420091848;11.4728495850255;89.551673595815;10.4483264041849;15.0826603043601;75.3969346479388;24.6030653520612
overview_phosphorus_10red.csv;18781513.4380656;302460.40856785;67699.2361651511;4547.91092615577;7727.46421718327;2473.37603310156;568.893655832942;20.6896767531122;19.2809421644943;93.7050650312765;6.29493496872349;28.2483273546248;81.3003542091567;18.6996457908433
overview_phosphorus_15red.csv;17235881.2851092;269717.514256689;100443.66759129;4546.37380575184;7285.58143726303;2810.58828414469;673.56418471005;27.2165514949157;28.0191951878204;95.6697094836273;4.33029051637267;32.3513329048754;80.6677752844882;19.3322247155118
overview_phosphorus_20red.csv;16221215.8771003;268024.549763137;101891.280389603;4791.72550822195;6655.28540193041;3391.24343935893;723.20506482844;31.5012669818754;28.4710047304825;95.5084453536947;4.49155464630534;38.2038083775278;82.4227945958634;17.5772054041366
overview_phosphorus_25red.csv;14605539.2989358;226257.787470158;141653.344828549;6796.42336209189;5717.68430269869;4128.51128071457;923.538322826703;38.3239243837514;39.617500620944;95.4217352812813;4.57826471871875;46.9096975609966;81.719531768268;18.280468231732
overview_phosphorus_30red.csv;12935534.2172687;207858.312374472;159461.311024237;7387.9322620899;5457.30758544332;4384.8985524541;927.527768342543;45.375999462138;44.5278566620006;95.5720912384292;4.42790876157083;49.3273684108261;82.5404116248816;17.4595883751184
overview_phosphorus_35red.csv;10428368.4627705;193232.539032189;177100.622101931;4374.39452237955;4985.58016181091;4975.89524518755;808.2584987238;55.963225410595;48.4311068423954;97.589533477528;2.41046652247202;53.70748984873;86.0263309982967;13.9736690017033
overview_phosphorus_40red.csv;9155596.48742604;160537.556737862;208181.136283701;5988.86262420838;4544.79548060471;5464.98647938323;759.951945734303;61.3378698510987;57.1565733563198;97.2036874189912;2.79631258100885;57.8002992444273;87.7918158568781;12.2081841431219
overview_phosphorus_50red.csv;8597007.2257853;170197.642265635;198361.728486142;6148.18490472366;4696.97171346349;5374.65649196501;698.105700293756;63.6966730992532;54.5785400656013;96.9936983480243;3.0063016519757;56.3873002401473;88.5043135530045;11.4956864469955
overview_phosphorus_45red.csv;8377724.83667141;159499.574352941;209322.951485733;5885.02980796865;4398.56163027667;5677.48879775246;693.683477693126;64.622655833303;57.4335846866865;97.26542214067;2.73457785933001;59.158121560198;89.1121531846412;10.8878468153588
