farm,z,farmN,farmP
WA01,48291.7917,1249.355179,9.48373218
WA02,36041.34033,523.9602147,14.26885453
WA03,213801.4821,3120.736093,39.01032513
WA04,-10130.64585,140.8075046,26.91604283
WA05,2.31E-05,129.364856,10.56723426
WA06,515528.6499,7546.187834,92.09643186
WA07,561809.4596,15498.69296,112.3761062
WA08,887049.3002,2426.177813,223.1804873
WA09,281411.0203,5106.360828,65.61681352
WA10,619673.797,12322.49871,81.16837453
WA11,206154.8154,6065.36657,59.09081497
WA12,398699.2363,5244.124852,55.1942648
WA13,24405.63704,465.5902761,6.433885846
WA14,370108.9899,2971.622331,125.0393311
WA15,6.05E-06,71.17427617,5.997778453
WA16,1309767.36,3710.767987,96.94625038
WA17,124087.3741,4832.596526,43.61068751
WA18,231773.5363,4750.551611,75.5366958
WA19,-789.4439,981.419893,25.19576428
WA20,2719.820062,39.45676131,1.074129913
WA21,16211.48184,236.6075602,2.957955068
WA22,262271.9651,5454.672435,78.90837661
WA23,0,282.1794632,15.84103629
WA24,-49984.14909,354.3508864,63.41065341
WA25,0,206.6179152,52.17740327
WA26,36299.40442,658.6518074,8.463958683
WA27,0,139.0465809,29.50813482
WA28,38705.86689,2128.633546,17.30673413
WA29,17328.57915,330.5627633,4.568211022
WA30,-789.4439046,719.3689612,101.3078768
WA31,0,10.59659193,4.451139661
WA32,0,378.0818698,40.07023872
WA33,-23429.54751,686.1039301,89.18010241
WA34,151178.2107,6523.690537,50.33657957
WA35,1301984.531,11356.8412,400.2536757
WA36,301084.2645,9862.657093,117.8111497
WA37,17163.92769,250.5396603,3.131738813
WA38,0,497.343829,72.27474452
WA39,-18296.07009,698.6058672,114.0975737
WA40,320587.9144,10922.0569,107.2685813
WA41,66024.18658,3008.469657,27.1010398
WA42,49173.86725,1549.557309,14.81452702
WA43,155191.1106,10393.44771,41.94537958
WA44,0,348.2975723,26.09329025
WA45,76727.86102,213.7888977,27.90415535
WA46,7.09E-05,334.2049147,41.08987143
WA47,389221.013,6442.216323,72.02763972
WA48,0,756.4209017,106.5247548
WA49,69904.74959,1630.713663,26.19340873
WA50,0,138.112364,21.34203967
WA51,552.5537986,10.5188938,0.145316898
WA52,0,450.8226366,63.48684497
WA53,0,241.999371,32.08422661
WA54,40512.04925,121.9583573,0.096482989
WA55,871139.6404,2093.234354,71.44971696
WA56,-52678.40221,1246.904155,170.5436659
WA57,70450.47707,1028.381687,12.85670836
WA58,302216.4606,2930.620709,49.29325638
WA59,63968.02296,1108.608559,19.98792383
WA61,-15489.37258,607.5482897,78.56663963
WA62,714053.9878,10911.64514,117.1478426
WA64,0,166.1030191,8.769156968
WA65,4343.065446,88.67014264,1.234701727
WA66,216507.4653,7094.091304,68.36414661
WA67,-20653.46948,263.9258992,49.95141795
WA68,125631.8086,1791.343539,17.29416892
WA69,136725.828,1535.169338,41.33463693
WA70,805001.0582,2765.603112,252.7270672
WA71,0,235.0120083,25.48584587
WA72,67483.86934,1435.992592,28.10725913
WA73,-58507.6028,293.5597061,178.2487514
WA74,256438.0986,7124.236574,105.2060362
WA75,-10660.38422,294.8291453,44.44564635
WA76,842393.5262,10742.99994,94.38289335
WA77,0,150.364373,23.23595983
WA78,632151.2899,12727.91161,63.37875071
WA79,17372.58654,252.5923234,6.877849376
WA80,3.74E-05,198.3562565,10.47217028
WA81,0,118.6598561,32.9893398
WA83,131937.6994,2803.783354,41.45962531
WA84,119043.9753,2026.441115,20.26506585
WA85,18565.48947,379.5176121,5.6349169
WA86,762930.7939,7308.492532,98.64286463
WA87,400503.3841,2963.471883,142.2039503
WA88,674618.3152,8552.052342,86.20580476
WA89,97222.65295,3085.587459,25.51609324
WA91,93962.79164,1908.116325,38.68420463
WA92,12732.93455,185.1455639,5.04099984
WA93,246541.3885,2129.735895,77.37525584
WA94,0,79.57125155,2.099528788
WA97,63560.59272,1212.439551,16.76749935
WA99,244709.7844,3644.849653,43.34121727
WA101,0,61.60306126,5.032752862
WA102,118893.6318,2362.4853,32.91492813
WA103,30322.58077,578.5239251,7.999199353
WA104,-4746.762331,70.88165056,53.81412081
WA105,0,385.0797223,59.51022281
WA106,27899.4156,136.6173138,3.998462584
WA107,32596.8608,618.6301566,13.36120182
Total,17077211.33,262233.9403,5395.198314
